reviewer_id,overall,summary,review_timestamp,asin,type
A18MHL2YF8SF0R,5.0,Fast quick release.,2023-08-02 20:48:43.598,B0007SL86A,REVIEWED
A21S0JROV47F2L,3.0,Okay Product-Great Seller,2023-07-29 23:04:07.02,B0002GYYE0,REVIEWED
A3U7IJPPKYX3HG,4.0,Four Stars,2023-08-01 22:49:55.273,B0006NMUHM,REVIEWED
A1SO7YR445L8PG,4.0,Good quality and perfect fit for Peavey MiniMEGA 1000 amp,2023-07-27 20:34:41.947,B0002EJVL8,REVIEWED
A3JZ2D01U7RVTL,4.0,The Best,2023-07-27 21:07:52.696,B0002F50PS,REVIEWED
AK3TY7J1S3DV3,5.0,Quality product!,2023-07-27 20:34:41.947,B0002EJVL8,REVIEWED
A278ZSTYPB8F2N,4.0,Four Stars,2023-07-29 21:36:59.201,B0002GWMSK,REVIEWED
AEK9201XMJF3E,4.0,great mic,2023-07-31 21:38:51.23,B0002MNXFK,REVIEWED
A17F4UAUZ0HDDR,5.0,like it.  :),2023-08-01 23:20:11.98,B0006VYYGE,REVIEWED
A3NK2295V6ACB7,5.0,Quality foam / design / fit,2023-08-01 22:49:55.273,B0006NMUHM,REVIEWED
A23ZYHOZTVFWL0,5.0,I love the quality of gator,2023-07-27 20:34:41.947,B0002EJVL8,REVIEWED
A2JKT9YZ9CTQSE,5.0,Great for playing edrums,2023-07-27 22:48:39.941,B0002F5FFS,REVIEWED
A3BPJIXKQVEUO,1.0,I ordered the Vater Percussion Super Jazz Wood Tip,2023-07-27 21:07:52.681,B0002F50PS,REVIEWED
A2YN1T6P8W93YW,5.0,A Classic from Beyer,2023-07-31 21:38:51.23,B0002MNXFK,REVIEWED
A3OGCCB0Z7BW44,3.0,A good blues harmonica to start at a very low price,2023-07-29 21:36:59.201,B0002GWMSK,REVIEWED
A1KA9QH27XJ02D,5.0,Perfect part,2023-07-31 20:31:11.099,B0002KZINM,REVIEWED
A1P9OPIRMXGAI7,5.0,Great quality,2023-07-27 22:48:39.941,B0002F5FFS,REVIEWED
A26E1NTORGDMOH,3.0,Louder Than Bombs,2023-07-29 23:51:07.614,B0002GWEJW,REVIEWED
A1ML3IH1EQECGS,5.0,Great case for my Yamaha mixer,2023-07-27 20:34:41.947,B0002EJVL8,REVIEWED
A2ULCZ1GCH92CU,5.0,Five Stars,2023-07-29 23:04:07.02,B0002GYYE0,REVIEWED
AIZA2WX82CL8O,5.0,Love it so far.,2023-08-01 23:20:11.98,B0006VYYGE,REVIEWED
A2OUOTJQ1W8L25,3.0,Filtering almost unnoticeable,2023-08-02 00:05:07.064,B00075VQRO,REVIEWED
A1IUYZ4WNT9IZD,5.0,For Fender or Yamaha :-),2023-07-31 20:31:11.115,B0002KZINM,REVIEWED
A1YBDL29G7KHKS,5.0,Low hum? What low hum?,2023-08-02 00:05:07.064,B00075VQRO,REVIEWED
A2ADRODUHEFTCB,5.0,Perfect,2023-07-31 21:38:51.23,B0002MNXFK,REVIEWED
A3ARSKAK1KRRKM,2.0,So So,2023-07-27 20:34:41.947,B0002EJVL8,REVIEWED
A2PO17I87WYS7Z,4.0,Four Stars,2023-08-01 23:58:14.739,B00074UXB0,REVIEWED
A36T7ZTSOEWSB4,5.0,Awesome rock and blues guitar speaker made in the USA,2023-08-02 21:36:09.023,B0008GGAPK,REVIEWED
A2PPQCFCRI8YGK,5.0,for the price it really did the job sound mellow ...,2023-08-01 23:20:11.98,B0006VYYGE,REVIEWED
A1RHBI07JTQBER,4.0,Four Stars,2023-08-01 23:20:11.98,B0006VYYGE,REVIEWED
A2MPM6M93OXIJT,4.0,Clayton Infinity Guitar Pick,2023-07-28 22:04:38.756,B0002GMFQ4,REVIEWED
A25VL1LEC7CNZF,1.0,Disatisfied cutomer!!!!!!!,2023-08-01 23:58:14.739,B00074UXB0,REVIEWED
A2PWRMMIKL7YKQ,5.0,You Cant Argue With Science,2023-08-02 00:05:07.064,B00075VQRO,REVIEWED
A3A4V5BTY8G3E8,4.0,Four Stars,2023-07-31 23:19:27.76,B0002UECTS,REVIEWED
A346E8Y51RVUM,4.0,Good product,2023-07-31 20:12:17.887,B0002KX5E6,REVIEWED
A4EOR1UV8KU93,5.0,Excellent Addition to my Roland V-Drum Kit!,2023-07-28 18:54:39.388,B0002F78KS,REVIEWED
A31WYJQ7Y06SJ3,1.0,I am disappointed. I was ready to do a dope Welcome ...,2023-08-01 21:56:59.635,B00067G66Y,REVIEWED
AT27IS3FDDH16,3.0,I bought this because I needed a replacement mike for ...,2023-08-01 21:42:13.304,B00064SYYY,REVIEWED
A1D30QLMIWSYEL,5.0,the zildjian bag is an awesome bag to have and use  for the whole week.,2023-07-30 00:16:21.404,B0002HA7M2,REVIEWED
A3K2WRDKC64YMM,5.0,Five Stars,2023-08-01 23:20:11.98,B0006VWYB6,REVIEWED
A3F4HXKGPXHUA6,5.0,great tool,2023-08-02 21:46:36.176,B000972F2A,REVIEWED
ATDYK53702CVD,5.0,Best harmonicas,2023-07-27 23:01:48.085,B0002F6SH2,REVIEWED
A2NAD49G4BXD1B,5.0,Five Stars,2023-07-29 22:39:25.368,B0002H06X2,REVIEWED
A1IOROR2NWIH9D,5.0,The only strings I buy,2023-07-31 22:27:01.523,B0002OOLOU,REVIEWED
AWBFUPFFW32CI,5.0,Five Stars,2023-07-31 20:12:17.887,B0002KX5E6,REVIEWED
AGRWDH5ZE6BR6,5.0,Great product! Just as described,2023-08-01 22:33:50.688,B0006J3YZS,REVIEWED
A31YGT0IRE0EYL,4.0,Well made 'overnight' bag,2023-07-30 00:16:21.435,B0002HA7M2,REVIEWED
A3O5DYWJ0I30L5,5.0,Five Stars,2023-07-27 23:01:48.085,B0002F6SH2,REVIEWED
A3D5JTM5LPQBFS,5.0,Lee Oscar instead of Hohner,2023-07-27 23:01:48.085,B0002F6SH2,REVIEWED
A1XD2MTB87RKV9,5.0,Five Stars,2023-08-01 22:33:50.688,B0006J3YZS,REVIEWED
A39103OS7X9L2Y,5.0,Great stuff!,2023-08-01 23:20:11.98,B0006VWYB6,REVIEWED
A3SPKEPMPNJUVY,5.0,Great little road amp!,2023-08-02 20:53:56.888,B0007UPZW6,REVIEWED
A1F6WPJGAWU5HR,5.0,Five Stars,2023-07-31 20:12:17.887,B0002KX5E6,REVIEWED
A2FPBVWUQX83Q2,5.0,Five Stars,2023-07-27 23:01:48.085,B0002F6SH2,REVIEWED
ATK4Y4TIFBZPM,5.0,Five Stars,2023-07-29 22:39:25.368,B0002H06X2,REVIEWED
AI1UXTI6OSAXE,5.0,Five Stars,2023-07-31 23:19:27.76,B0002UECTS,REVIEWED
AYWNGVMIN679Z,3.0,Three Stars,2023-08-01 22:33:50.688,B0006J3YZS,REVIEWED
AIU080CX3UZF7,5.0,"Sound great, last longer, look cool",2023-07-31 22:27:01.523,B0002OOLOU,REVIEWED
A3284H659E3S2J,3.0,Great for a friend who plays Guitar and wants a ...,2023-08-01 21:59:46.588,B00067G66Y,REVIEWED
A3EGAFLWH8PRWI,5.0,I love that DW makes brackets and clamps and hardware for ...,2023-07-28 00:09:20.897,B0002F6Z5M,REVIEWED
A2613VHA2OEW13,4.0,Fine for the price.,2023-08-01 21:21:04.691,B0002ZPJFE,REVIEWED
A1WIW6FWF5ACD0,1.0,This is NOT the large frog,2023-07-31 20:07:18.563,B0002KTW52,REVIEWED
ALH1QJQERH8C4,2.0,"It has a good sound, but",2023-07-29 23:36:43.698,B0002H0RT0,REVIEWED
AUS692CQTGK56,5.0,Five Stars,2023-07-31 19:51:50.563,B0002J4IYS,REVIEWED
A3KEUSVUWF8M5S,5.0,Five Stars,2023-07-28 18:57:36.606,B0002F6W5U,REVIEWED
A2744KNJHWVXMZ,4.0,Great value,2023-08-02 21:36:09.086,B0008IUW0M,REVIEWED
A3HKW1HAV7L3R9,4.0,Good mounting system to use full length of goose-neck microphone,2023-08-02 00:01:38.906,B00076AGJC,REVIEWED
A3501UIP6Z02TG,4.0,"Good sound, easy to replace",2023-08-01 21:21:04.691,B0002ZPJFE,REVIEWED
A1MBURXXCXSWRF,3.0,Be very careful which option you order.  The pictures sometimes show the wrong microphone.,2023-07-31 19:51:50.563,B0002J4IYS,REVIEWED
A36WOIKI0PDCQW,5.0,Five Stars,2023-07-28 00:09:20.897,B0002F6Z5M,REVIEWED
A306G7HMY94KO3,4.0,Very good for the price,2023-08-02 21:52:48.087,B0009841JY,REVIEWED
ALMF1J8U7ESME,3.0,Lee Oskar Minor Key Harp,2023-07-29 23:36:43.698,B0002H0RT0,REVIEWED
ABTL33OIBP979,5.0,AT-Lp120 replacement,2023-08-01 21:21:04.691,B0002ZPJFE,REVIEWED
A7K9FR69CUKPY,4.0,Needs to be sturdy at the center in my opinion,2023-08-02 00:01:38.906,B00076AGJC,REVIEWED
A382CABUIVXJ2V,5.0,Stereo stylus,2023-08-01 21:15:29.14,B0002ZPJYA,REVIEWED
A1J560MJGF68AL,5.0,perfect fit,2023-08-01 21:15:29.14,B0002ZPJYA,REVIEWED
A1KUWSAKYXYD8U,5.0,Used for a Sony ND-145G replacement stylus,2023-08-01 21:21:04.691,B0002ZPJFE,REVIEWED
A2TJHX55GD0NMH,5.0,Five Stars,2023-08-01 21:23:57.168,B0003067G8,REVIEWED
ACQVCNPZEXIXL,4.0,Four Stars,2023-08-01 21:15:29.14,B0002ZPJYA,REVIEWED
A3ZK6FO07162H,5.0,Great product,2023-07-31 19:51:50.563,B0002J4IYS,REVIEWED
AZ1BMKALOYIZF,4.0,Four Stars,2023-07-31 19:51:50.563,B0002J4IYS,REVIEWED
A33RVA4I9WK1YG,5.0,record stylus,2023-08-01 21:21:04.691,B0002ZPJFE,REVIEWED
A282ZOK2YYGIS9,5.0,Pearl RH2000/C,2023-07-28 18:57:36.606,B0002F6W5U,REVIEWED
A2MCX7ACWZC7RM,3.0,Three Stars,2023-08-02 00:01:38.906,B00076AGJC,REVIEWED
AJEQDJCGO0MDY,5.0,Great!,2023-07-31 20:07:18.563,B0002KTW52,REVIEWED
A298PE7TEIP5MT,4.0,Ribbit!,2023-07-31 20:07:18.563,B0002KTW52,REVIEWED
A22LLYGXXUH3OJ,1.0,"Good Mic, terrible clip.",2023-08-01 21:23:57.168,B0003067G8,REVIEWED
AYEDKZ2V3Y2RM,5.0,great price...great mic,2023-08-02 23:04:58.886,B0009RTJEC,REVIEWED
A8Y9GOR79HVAY,5.0,Sabian HHX are great.,2023-07-27 20:57:15.305,B0002F4SVK,REVIEWED
A33JV0XDMCRBTT,5.0,Five Stars,2023-08-01 23:02:58.908,B0006SMY7S,REVIEWED
A7GZ3R3IYNR8R,5.0,Five Stars,2023-07-31 21:48:48.221,B0002MRCLQ,REVIEWED
A2VGUWQIMYX7SU,4.0,Four Stars,2023-07-31 21:59:19.689,B0002NQQDK,REVIEWED
A1VKRBM8YQP9DT,5.0,Unbelievable,2023-08-01 23:02:58.908,B0006SMY7S,REVIEWED
A3LNNEYLGGCO25,4.0,classic pignose,2023-08-01 23:02:58.908,B0006SMY7S,REVIEWED
A37DO9OFNEWPVF,1.0,Don't waste your time,2023-08-01 23:02:58.908,B0006SMY7S,REVIEWED
A30GV8W65D9R8U,5.0,Five Stars,2023-07-29 23:36:43.698,B0002H0GF0,REVIEWED
A37X60MOD3Y8Y3,5.0,Great Product,2023-07-27 20:57:15.305,B0002F4SVK,REVIEWED
A13H64O33X245K,4.0,"Very Satisfied, after shaky start",2023-08-02 20:29:11.078,B0007LCLQ8,REVIEWED
A1V7EDH3NN020R,5.0,Awesome,2023-07-31 21:59:19.689,B0002NQQDK,REVIEWED
A15EOLR0GUQ0LH,5.0,Five Stars,2023-07-29 21:50:19.653,B0002GWXKC,REVIEWED
A3GOA81KE9P7WK,5.0,handy cable. it can turn a wireless transmitter into ...,2023-08-02 00:05:07.08,B00076R384,REVIEWED
A3AMV4RR9BSTHH,5.0,Great,2023-07-29 21:50:19.653,B0002GWXKC,REVIEWED
A23YV3VIS25WDS,5.0,Great sound. These super light strings feel extremely comfortable ...,2023-08-02 22:11:10.501,B0009FCD2O,REVIEWED
A2Q06ILYZ210O3,1.0,Why can't I return this speaker I got yesterday? Does not work.,2023-07-31 21:48:48.206,B0002MRCLQ,REVIEWED
A1F41JYFBPOVSG,5.0,I bought this to convert my Shure wireless lav to ...,2023-08-02 00:05:07.08,B00076R384,REVIEWED
AR1FKX4AU36ZY,4.0,Four Stars,2023-07-29 21:50:19.638,B0002GWXKC,REVIEWED
A9Z9ERJHPWAP7,5.0,LOVE IT!,2023-07-29 23:36:43.698,B0002H0GF0,REVIEWED
A2R9G4DW0T0FNR,5.0,"Favorite strings, bright, clean",2023-08-02 22:11:10.501,B0009FCD2O,REVIEWED
A1SMU5G3KK6GT0,3.0,Three Stars,2023-08-01 23:02:58.908,B0006SMY7S,REVIEWED
A25I6Y42O9HAGC,5.0,Great semi-weighted MIDI controller,2023-07-29 23:36:43.698,B0002H0GF0,REVIEWED
A2OXNXAKGW0V99,4.0,... since July of 2006 and they have been absolutely amazing. The price along with the amount of use ...,2023-07-31 21:48:48.206,B0002MRCLQ,REVIEWED
A1SEPKVEX3X0XJ,5.0,Five Stars,2023-07-31 21:48:48.221,B0002MRCLQ,REVIEWED
A3M4AJJ9AYRWIO,5.0,AMAZING!!!,2023-07-27 20:57:15.305,B0002F4SVK,REVIEWED
AH5OIUHFMNR5V,5.0,Five Stars,2023-08-02 20:29:11.078,B0007LCLQ8,REVIEWED
AX8RV14OMUUTU,4.0,Great Product for the price,2023-08-02 21:30:54.747,B0008D5FN6,REVIEWED
A1B7OJE3LV3DW0,5.0,"I Changed the pads, I changed the headband, I modded the sound, and I learned so much",2023-07-31 21:45:25.962,B0002MT6RY,REVIEWED
A2GEG4M2DLT6TC,5.0,Must have for the higher register playing folks,2023-08-02 22:11:10.501,B0009FCD2O,REVIEWED
ASIOJPTNWTVOF,5.0,great stings!,2023-08-02 22:11:10.501,B0009FCD2O,REVIEWED
A20OPUB49OQD15,5.0,Five Stars,2023-08-02 00:05:07.08,B00076R384,REVIEWED
AQX0WDSS6T7IO,5.0,A great-sounding monitor speaker!,2023-07-31 21:48:48.206,B0002MRCLQ,REVIEWED
A128BMPKBECTBG,5.0,Five Stars,2023-07-27 23:51:10.016,B0002F6TP8,REVIEWED
A1YGQJUEMWTOYO,5.0,Very nice!!,2023-07-31 21:48:48.206,B0002MRCLQ,REVIEWED
A2RSUV50PF8N5P,5.0,Sounds insane,2023-07-27 20:57:15.305,B0002F4SVK,REVIEWED
A3NMYMNYKRYJHX,5.0,he absolutely loved it. Very easy to set and use,2023-07-29 23:36:43.698,B0002H0GF0,REVIEWED
AD50L7Y3ZDP48,5.0,The Best,2023-08-02 21:30:54.747,B0008D5FN6,REVIEWED
A17F9NB3R0ESNM,4.0,"Used to work perfectly... now it does not. *EDIT: It works again, but only with a power supply and MIDI cable.",2023-07-29 23:36:43.698,B0002H0GF0,REVIEWED
A27C28PM7C5EGK,5.0,"5 stars, but wait......",2023-07-28 22:19:32.268,B0002GO15C,REVIEWED
A2VAGRPIO1OXSW,5.0,Great speakers for the price,2023-08-02 20:29:11.078,B0007LCLQ8,REVIEWED
AQWPHO7BNRQ7,3.0,Great sound but due to the really small size of ...,2023-08-01 23:06:15.049,B0006UGEKY,REVIEWED
A32UH1V43HKO0C,5.0,Five Stars,2023-07-31 22:46:06.132,B0002PSCQC,REVIEWED
A2XOLBP8PSE3QX,5.0,TO play MP3 player into mic equipment,2023-08-01 21:27:08.591,B00030EE04,REVIEWED
A33ZM9EM1EMK5Z,5.0,SUPERB MIKE ' VERY SIMILAR THAN THE NEUMANN U 87 ...,2023-07-31 22:46:06.117,B0002PSCQC,REVIEWED
AZYQ2HRA3OOUA,5.0,Five Stars,2023-07-31 22:20:06.34,B0002OOPXW,REVIEWED
A3TPIEDYAHG038,1.0,A real mediocre job by Epiphone,2023-07-31 22:20:06.34,B0002OOPXW,REVIEWED
A2TAI4QBK3R134,1.0,Horrible received broken!,2023-07-31 22:46:06.132,B0002PSCQC,REVIEWED
A270VB3851WVSC,1.0,One Star,2023-08-01 23:06:15.049,B0006UGEKY,REVIEWED
A3441J74OH6YUV,3.0,"Cool idea, but it really needs tension adjustment ability",2023-07-29 21:31:38.263,B0002GODY6,REVIEWED
A12LTYDEZDUEIV,4.0,"smaller enough to be portable, but requires two for four strings",2023-07-30 00:52:11.544,B0002II6VK,REVIEWED
AAPO5JGD0APMH,1.0,this guitar is a waste of money,2023-07-27 20:42:09.562,B0002EVQEI,REVIEWED
A12YVGYTURCR3Q,4.0,Good for the price.,2023-07-31 20:42:31.274,B0002KZHQ0,REVIEWED
AS15FQNUCJM7U,5.0,Five Stars,2023-07-31 22:46:06.117,B0002PSCQC,REVIEWED
AWN1XF342459J,5.0,durable and works well,2023-08-01 21:27:08.591,B00030EE04,REVIEWED
A25GH6UJC81SS,1.0,Not For Mac,2023-08-01 21:59:46.604,B0006A9M3K,REVIEWED
A2AGXSVY1P0143,1.0,One Star,2023-08-01 20:42:36.97,B0002V34EQ,REVIEWED
A25DPC15GZ6K0L,4.0,Nice Device,2023-07-31 22:20:06.34,B0002OOMU8,REVIEWED
A1S89VR24EYYKA,5.0,Great buy!,2023-07-29 21:31:38.278,B0002GODY6,REVIEWED
A3QC84J4C50A3A,2.0,Too Short for 32-Channel Mixer,2023-08-01 20:42:36.985,B0002V34EQ,REVIEWED
A2K3M6FGB4NPBI,5.0,Great capo. Learning how to move it smoothly,2023-07-29 21:31:38.278,B0002GODY6,REVIEWED
A3G4YQ04IZX9QH,5.0,Great product,2023-07-31 22:20:06.34,B0002OOMU8,REVIEWED
A2LZ0HIZT24QLX,5.0,Love This Harmonica!,2023-07-29 21:50:19.653,B0002GWLJU,REVIEWED
A2R21EW6FNLJ82,4.0,"Love the product, not the seller.",2023-08-01 21:59:46.604,B0006A9M3K,REVIEWED
A1GW2WV5OR6TF6,5.0,Five Stars,2023-07-31 22:20:06.34,B0002OOMU8,REVIEWED
A21X4AJJG3HZZ0,5.0,Great!,2023-07-28 20:05:45.459,B0002F7416,REVIEWED
A1FRIBXUEIRNQ3,5.0,"Super durable, clean condenser",2023-07-31 22:46:06.132,B0002PSCQC,REVIEWED
A1YLPCWBU5E41Y,5.0,Five Stars,2023-07-31 20:42:31.274,B0002KZHQ0,REVIEWED
A3S3VSXEFXBMRC,5.0,Five Stars,2023-08-01 23:06:15.049,B0006UGEKY,REVIEWED
A22TNA4093WW,5.0,Best in breed,2023-07-31 22:46:06.132,B0002PSCQC,REVIEWED
A2HELXGMD7CJMS,5.0,Best sticks out there I yes a pair for my ...,2023-07-28 20:05:45.459,B0002F7416,REVIEWED
A1ARJH5D2XKHZO,4.0,beginners,2023-07-27 20:42:09.531,B0002EVQEI,REVIEWED
AUBJFI9PRXYIG,3.0,Three Stars,2023-08-01 20:56:03.923,B0002XKYXI,REVIEWED
A1M4PLIMMFF06,5.0,Great for the music-inclined turtle-lover.,2023-07-27 22:12:48.374,B0002F5C42,REVIEWED
A2VMSL9S0D593,4.0,Four Stars,2023-07-31 20:39:24.066,B0002KZIKU,REVIEWED
A2G2VY8TJJAPKF,5.0,Five Stars,2023-08-02 20:38:56.25,B0007P8KAK,REVIEWED
A1ST8X2XALAC72,4.0,"Good, but could have bigger screws for sturdier installation.",2023-08-01 20:56:03.923,B0002XKYXI,REVIEWED
A3FGIYL2X6YXQF,4.0,Remo Talking Drum,2023-07-31 22:13:05.522,B0002ODT0W,REVIEWED
AQJN8DSMR4VYB,3.0,"Cheap, but works!",2023-08-02 23:14:10.302,B0009V4678,REVIEWED
ABWXLPHA0QR26,5.0,Five Stars,2023-07-31 22:13:05.522,B0002ODT0W,REVIEWED
A16211LIE8VOWE,5.0,"nice woofer, nice price",2023-08-01 22:06:10.282,B0006BFS4Q,REVIEWED
AIM47BCJFPC0T,3.0,Much smaller than I expected,2023-07-27 22:12:48.374,B0002F5C42,REVIEWED
